#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AE3681
#Date Time: 2020-09-14 11:53:59.488
#Start: 14461 Hz
#Stop: 20879.6 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.44198 V
#Offset: -0.00025017 V
#Relative: no
#Channel: Channel 2
#Range: 5.4844 V
#Offset: 0.000101632 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
18792.83052168386,0.02580506827694054,-53.49043752251426,89.2831508606647
18838.90696758611,0.02601360486573485,-53.33082068492818,87.89983756675446
18885.09638416964,0.02578569695357383,-52.93221789637524,86.94813588347108
18931.39904841705,0.02542759840774653,-52.76135859776433,89.89949526435673
18977.81523799008,0.0263880274330516,-52.50814282914101,88.77932314538799
19024.34523123124,0.02724622823595339,-52.31409558518936,90.1131791635742
19070.98930716548,0.02534581048996186,-51.98395184257551,88.88000905669426
19117.74774550185,0.02629961955130256,-52.11361291105202,88.29908848885805
19164.62082663522,0.02642225922882128,-51.92803367807367,88.39468538206253
19211.60883164792,0.02546389355459575,-51.67823205387725,88.75111561324336
19258.71204231144,0.02397084372228637,-51.36514523698931,88.11280440962281
19305.93074108812,0.02159847069469313,-51.40120496509223,90.94629183636138
19353.26521113286,0.01809660247091161,-51.45321975806121,89.36564502258125
19400.71573629477,0.01317455781045872,-50.97568105619964,89.05164367622075
19448.28260111894,0.01365588380732426,-50.74554105380764,90.06855146368983
19495.96609084808,0.01959439222978535,-50.76647947016835,90.18509456711401
19543.76649142428,0.02654675304232811,-50.73927851982306,89.17275147333626
19591.6840894907,0.02705943699936025,-50.40874929056013,89.92393179482401
19639.7191723933,0.0257681031436777,-50.33811794021794,89.01928463921703
19687.87202818253,0.0275868699405866,-50.10993844614703,91.06983304444495
19736.14294561513,0.02724267842676717,-50.08998369363488,90.76194606659243
19784.53221415579,0.02745700288970414,-49.80352613868907,90.74537892260936
19833.04012397891,0.02595535728508107,-49.93736028032376,89.99871643783221
